date,video_count,dict_sentiment_avg,sentimentr_score_avg,finbert_score_avg,ollama_score_avg,simple_sentiment_index,sentiment_std,total_views,total_likes,duration_weighted_sentiment,view_weighted_sentiment,like_weighted_sentiment,weighted_sentiment_index
2022-08-09,1,-0.627254509018036,NA,NA,NA,-0.627254509018036,NA,84677,245,-0.627254509018036,-0.627254509018036,-0.627254509018036,-0.627254509018036
2022-08-10,1,-0.494305239179954,NA,NA,NA,-0.494305239179954,NA,161415,348,-0.49430523917995406,-0.494305239179954,-0.494305239179954,-0.49430523917995395
2022-08-11,1,-0.607361963190184,NA,NA,NA,-0.607361963190184,NA,61526,195,-0.607361963190184,-0.607361963190184,-0.607361963190184,-0.607361963190184
2022-08-12,1,-0.557522123893805,NA,NA,NA,-0.557522123893805,NA,140897,295,-0.557522123893805,-0.557522123893805,-0.557522123893805,-0.557522123893805
2022-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-15,1,-0.536534446764092,NA,NA,NA,-0.536534446764092,NA,79420,239,-0.536534446764092,-0.536534446764092,-0.536534446764092,-0.536534446764092
2022-08-16,1,-0.616942909760589,NA,NA,NA,-0.616942909760589,NA,57637,218,-0.616942909760589,-0.616942909760589,-0.616942909760589,-0.616942909760589
2022-08-17,1,-0.427083333333333,NA,NA,NA,-0.427083333333333,NA,25026,137,-0.427083333333333,-0.427083333333333,-0.427083333333333,-0.427083333333333
2022-08-18,1,-0.643286573146293,NA,NA,NA,-0.643286573146293,NA,46880,173,-0.643286573146293,-0.643286573146293,-0.643286573146293,-0.643286573146293
2022-08-19,1,-0.421052631578947,NA,NA,NA,-0.421052631578947,NA,76860,197,-0.421052631578947,-0.421052631578947,-0.421052631578947,-0.421052631578947
2022-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-22,1,-0.627056672760512,NA,NA,NA,-0.627056672760512,NA,39110,181,-0.627056672760512,-0.627056672760512,-0.627056672760512,-0.627056672760512
2022-08-23,1,-0.465217391304348,NA,NA,NA,-0.465217391304348,NA,91610,318,-0.465217391304348,-0.465217391304348,-0.465217391304348,-0.465217391304348
2022-08-24,1,-0.555555555555556,NA,NA,NA,-0.555555555555556,NA,33725,112,-0.555555555555556,-0.555555555555556,-0.555555555555556,-0.555555555555556
2022-08-25,1,-0.480645161290323,NA,NA,NA,-0.480645161290323,NA,99871,253,-0.480645161290323,-0.480645161290323,-0.4806451612903229,-0.4806451612903229
2022-08-26,1,-0.550970873786408,NA,NA,NA,-0.550970873786408,NA,788962,1240,-0.550970873786408,-0.550970873786408,-0.550970873786408,-0.550970873786408
2022-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-08-29,1,-0.553846153846154,NA,NA,NA,-0.553846153846154,NA,57857,198,-0.553846153846154,-0.553846153846154,-0.553846153846154,-0.553846153846154
2022-08-30,1,-0.574193548387097,NA,NA,NA,-0.574193548387097,NA,22506,100,-0.574193548387097,-0.574193548387097,-0.574193548387097,-0.574193548387097
2022-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-01,1,-0.65112262521589,NA,NA,NA,-0.65112262521589,NA,61801,260,-0.65112262521589,-0.65112262521589,-0.65112262521589,-0.65112262521589
2022-09-02,1,-0.526315789473684,NA,NA,NA,-0.526315789473684,NA,50305,183,-0.526315789473684,-0.526315789473684,-0.526315789473684,-0.526315789473684
2022-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
